lat,lon,alt,acc,speed,accelx,accely,accelz,gyrox,gyroy,gyroz,azimuth,pitch,roll,time,batpct,current,capmah,engnwh
0.0,0.0,0.0,0.0,0.0,1.0014985,-0.07835245,-0.05277729,-0.20173231,-0.15057385,-0.05482354,-171.81448,-19.323936,1.8245997,1666449584000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,1.0014985,-0.07835245,-0.05277729,-0.20173231,-0.15057385,-0.05482354,-167.34439,-19.495714,-0.9088812,1666449584000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,1.0014985,-0.07835245,-0.05277729,-0.20173231,-0.15057385,-0.05482354,-168.63155,-19.495714,-0.9088812,1666449584000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,1.0014985,-0.07835245,-0.05277729,-0.0361927,-0.2932067,-0.18753012,-168.63155,-19.495714,-0.9088812,1666449584000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.2852221,-0.36710143,0.49473286,-0.0361927,-0.2932067,-0.18753012,-168.63155,-19.495714,-0.9088812,1666449584000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.2852221,-0.36710143,0.49473286,-0.0361927,-0.2932067,-0.18753012,-164.50293,-20.475443,-2.959048,1666449584000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.2852221,-0.36710143,0.49473286,-0.0361927,-0.2932067,-0.18753012,-164.83461,-21.008003,-2.5847654,1666449584000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.2852221,-0.36710143,0.49473286,-0.0361927,-0.2932067,-0.18753012,-171.28252,-21.11605,0.8899317,1666449584000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.2852221,-0.36710143,0.49473286,-0.0361927,-0.2932067,-0.18753012,-171.79102,-21.11605,0.8899317,1666449584000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.2852221,-0.36710143,0.49473286,0.010231691,-0.028557109,-0.123391144,-171.79102,-21.11605,0.8899317,1666449584000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.2852221,-0.36710143,0.49473286,0.010231691,-0.028557109,-0.123391144,-176.44435,-20.358019,3.218318,1666449584000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.2852221,-0.36710143,0.49473286,0.010231691,-0.028557109,-0.123391144,-175.237,-19.355608,2.4783933,1666449584000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.2852221,-0.36710143,0.49473286,0.010231691,-0.028557109,-0.123391144,-169.08447,-19.527712,-0.92196155,1666449584000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.2852221,-0.36710143,0.49473286,0.010231691,-0.028557109,-0.123391144,-166.79002,-19.929825,-2.123585,1666449584000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.6290438,-0.20491195,0.29487133,0.010231691,-0.028557109,-0.123391144,-166.79002,-19.929825,-2.123585,1666449584000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.6290438,-0.20491195,0.29487133,0.010231691,-0.028557109,-0.123391144,-167.64394,-19.929825,-2.123585,1666449584000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.6290438,-0.20491195,0.29487133,0.010231691,-0.028557109,-0.123391144,-171.78902,-20.733877,0.24683785,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.6290438,-0.20491195,0.29487133,0.010231691,-0.028557109,-0.123391144,-173.84805,-21.453434,1.3863934,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.6290438,-0.20491195,0.29487133,0.14202198,0.012064233,-0.18691926,-173.84805,-21.453434,1.3863934,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.41690302,-0.38666272,0.48385334,0.14202198,0.012064233,-0.18691926,-173.84805,-21.453434,1.3863934,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.41690302,-0.38666272,0.48385334,0.14202198,0.012064233,-0.18691926,-175.90448,-21.868082,2.4201398,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.41690302,-0.38666272,0.48385334,0.14202198,0.012064233,-0.18691926,-177.63942,-21.868082,2.4201398,1666449585000,93.0,-693970,4466020,-9223372036854775808
--GPS STARTED--
0.0,0.0,0.0,0.0,0.0,0.41690302,-0.38666272,0.48385334,0.09834641,0.107050985,-0.05283829,-177.63942,-21.868082,2.4201398,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.2689132,-0.24194312,0.059426308,0.09834641,0.107050985,-0.05283829,-177.63942,-21.868082,2.4201398,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.2689132,-0.24194312,0.059426308,0.09834641,0.107050985,-0.05283829,-178.19595,-22.25604,2.6854227,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.2689132,-0.24194312,0.059426308,0.09834641,0.107050985,-0.05283829,-173.42722,-22.525373,0.61096895,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.2689132,-0.24194312,0.059426308,0.09834641,0.107050985,-0.05283829,-168.67195,-23.097782,-1.376814,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.2689132,-0.24194312,0.059426308,0.09834641,0.107050985,-0.05283829,-170.4208,-22.975872,-0.6324802,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.2689132,-0.24194312,0.059426308,0.09834641,0.107050985,-0.05283829,-170.49709,-22.975872,-0.6324802,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.2689132,-0.24194312,0.059426308,0.019699825,0.012827792,-0.14843589,-170.49709,-22.975872,-0.6324802,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.5327855,-0.14267182,-0.26422405,0.019699825,0.012827792,-0.14843589,-170.49709,-22.975872,-0.6324802,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.5327855,-0.14267182,-0.26422405,0.019699825,0.012827792,-0.14843589,-177.69673,-22.429356,2.3615294,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.5327855,-0.14267182,-0.26422405,0.019699825,0.012827792,-0.14843589,175.88268,-21.710365,5.1604047,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.5327855,-0.14267182,-0.26422405,0.019699825,0.012827792,-0.14843589,177.30992,-21.903393,4.5168686,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.5327855,-0.14267182,-0.26422405,0.019699825,0.012827792,-0.14843589,177.15546,-21.903393,4.5168686,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.5327855,-0.14267182,-0.26422405,-0.0047340663,0.0051922016,-0.025044737,177.15546,-21.903393,4.5168686,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,-0.09521866,-0.11411595,0.045885086,-0.0047340663,0.0051922016,-0.025044737,177.15546,-21.903393,4.5168686,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,-0.09521866,-0.11411595,0.045885086,-0.0047340663,0.0051922016,-0.025044737,-179.90796,-22.658796,3.2355845,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,-0.09521866,-0.11411595,0.045885086,-0.0047340663,0.0051922016,-0.025044737,-177.6661,-22.92496,2.307373,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,-0.09521866,-0.11411595,0.045885086,-0.0047340663,0.0051922016,-0.025044737,-174.62228,-23.148329,1.0659149,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,-0.09521866,-0.11411595,0.045885086,-0.0047340663,0.0051922016,-0.025044737,-174.43741,-22.615137,0.9238089,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,-0.09521866,-0.11411595,0.045885086,-0.0047340663,0.0051922016,-0.025044737,-174.94485,-22.615137,0.9238089,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,-0.09521866,-0.11411595,0.045885086,0.007941014,-0.04550812,-0.059099473,-174.94485,-22.615137,0.9238089,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,-0.09521866,-0.11411595,0.045885086,0.007941014,-0.04550812,-0.059099473,-178.5446,-21.490837,2.4012618,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,-0.09521866,-0.11411595,0.045885086,0.007941014,-0.04550812,-0.059099473,-179.7708,-20.742561,2.9408958,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,-0.09521866,-0.11411595,0.045885086,0.007941014,-0.04550812,-0.059099473,-178.98103,-20.76369,2.578606,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.22936225,0.015835524,0.033286095,0.007941014,-0.04550812,-0.059099473,-178.98103,-20.76369,2.578606,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.22936225,0.015835524,0.033286095,0.007941014,-0.04550812,-0.059099473,-179.61818,-20.76369,2.578606,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.22936225,0.015835524,0.033286095,0.11514471,0.038483378,-0.006413896,-179.61818,-20.76369,2.578606,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.068392605,-0.2125237,0.41828632,0.11514471,0.038483378,-0.006413896,-179.61818,-20.76369,2.578606,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.068392605,-0.2125237,0.41828632,0.11514471,0.038483378,-0.006413896,-179.49146,-21.604628,2.5321357,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.068392605,-0.2125237,0.41828632,0.11514471,0.038483378,-0.006413896,-176.47284,-23.0116,1.3657334,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.068392605,-0.2125237,0.41828632,0.11514471,0.038483378,-0.006413896,-175.5248,-23.791384,1.0695211,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.068392605,-0.2125237,0.41828632,0.11514471,0.038483378,-0.006413896,-178.50883,-22.945219,2.1613684,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.068392605,-0.2125237,0.41828632,0.11514471,0.038483378,-0.006413896,-178.144,-22.945219,2.1613684,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.068392605,-0.2125237,0.41828632,0.027946262,-0.049784053,-0.045966256,-178.144,-22.945219,2.1613684,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.068392605,-0.2125237,0.41828632,0.027946262,-0.049784053,-0.045966256,179.41893,-22.11388,3.1634388,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.068392605,-0.2125237,0.41828632,0.027946262,-0.049784053,-0.045966256,177.32118,-21.96981,4.064301,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.068392605,-0.2125237,0.41828632,0.027946262,-0.049784053,-0.045966256,178.40868,-22.537188,3.578176,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.21078184,-0.102558136,-0.20319462,0.027946262,-0.049784053,-0.045966256,178.40868,-22.537188,3.578176,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.21078184,-0.102558136,-0.20319462,0.027946262,-0.049784053,-0.045966256,178.97401,-22.537188,3.578176,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.21078184,-0.102558136,-0.20319462,0.027946262,-0.049784053,-0.045966256,-177.46901,-23.497017,2.1488993,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.21078184,-0.102558136,-0.20319462,0.027946262,-0.049784053,-0.045966256,-173.40211,-24.094952,0.6137503,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.21078184,-0.102558136,-0.20319462,0.027946262,-0.049784053,-0.045966256,-173.33557,-23.777418,0.54080176,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.21078184,-0.102558136,-0.20319462,0.017561859,-0.018019995,0.015271181,-173.33557,-23.777418,0.54080176,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.21078184,-0.102558136,-0.20319462,0.017561859,-0.018019995,0.015271181,-179.62384,-22.778608,2.9960093,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,-0.0942851,-0.10002923,0.08994198,0.017561859,-0.018019995,0.015271181,-179.62384,-22.778608,2.9960093,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,-0.0942851,-0.10002923,0.08994198,0.017561859,-0.018019995,0.015271181,-178.21822,-22.778608,2.9960093,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,-0.0942851,-0.10002923,0.08994198,-0.059252184,-0.07345438,0.009468133,-178.21822,-22.778608,2.9960093,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.17212997,0.018194199,-0.2270689,-0.059252184,-0.07345438,0.009468133,-178.21822,-22.778608,2.9960093,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.17212997,0.018194199,-0.2270689,-0.059252184,-0.07345438,0.009468133,-177.02617,-22.473812,2.4623358,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.17212997,0.018194199,-0.2270689,-0.059252184,-0.07345438,0.009468133,-170.9365,-22.69536,-0.19508703,1666449585000,93.0,-693970,4466020,-9223372036854775808
0.0,0.0,0.0,0.0,0.0,0.17212997,0.018194199,-0.2270689,-0.059252184,-0.07345438,0.009468133,-167.15529,-23.037233,-1.8120753,1666449585000,93.0,-693970,4466020,-9223372036854775808
