lat,lon,alt,acc,speed,accelx,accely,accelz,gyrox,gyroy,gyroz,azimuth,pitch,roll
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5247756,-0.64052707,0.038533095,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15944035,0.25030774,-0.078673184,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15944035,0.25030774,-0.078673184,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15944035,0.25030774,-0.078673184,1.2212,-0.7136,0.1949
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15944035,0.25030774,-0.078673184,1.2212,-0.7136,0.1949
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15944035,0.25030774,-0.078673184,1.2374,-0.7136,0.1949
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13368931,0.038207665,0.12056246,1.2374,-0.7136,0.1949
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13368931,0.038207665,0.12056246,1.2088,-0.7367,0.1689
0.0,0.0,0.0,0.0,0.0,-0.19490205,0.14660302,-0.42634547,-0.13368931,0.038207665,0.12056246,1.2088,-0.7367,0.1689
--GPS LOCATION CHANGED--
0.0,0.0,0.0,0.0,0.0,-0.19490205,0.14660302,-0.42634547,-0.13368931,0.038207665,0.12056246,1.2229,-0.7367,0.1689
0.0,0.0,0.0,0.0,0.0,-0.19490205,0.14660302,-0.42634547,-0.16726941,0.65796435,9.627932E-4,1.2229,-0.7367,0.1689
0.0,0.0,0.0,0.0,0.0,-0.19490205,0.14660302,-0.42634547,-0.16726941,0.65796435,9.627932E-4,1.1902,-0.6188,0.0591
0.0,0.0,0.0,0.0,0.0,0.18162426,0.08683691,0.047376186,-0.16726941,0.65796435,9.627932E-4,1.1902,-0.6188,0.0591
0.0,0.0,0.0,0.0,0.0,0.18162426,0.08683691,0.047376186,-0.16726941,0.65796435,9.627932E-4,1.1764,-0.6188,0.0591
0.0,0.0,0.0,0.0,0.0,0.18162426,0.08683691,0.047376186,0.21951295,-0.0071518044,0.12355474,1.1764,-0.6188,0.0591
0.0,0.0,0.0,0.0,0.0,0.25088477,-0.32007173,0.42561752,0.21951295,-0.0071518044,0.12355474,1.1764,-0.6188,0.0591
0.0,0.0,0.0,0.0,0.0,0.25088477,-0.32007173,0.42561752,0.21951295,-0.0071518044,0.12355474,1.1974,-0.7724,0.1697
0.0,0.0,0.0,0.0,0.0,0.25088477,-0.32007173,0.42561752,0.21951295,-0.0071518044,0.12355474,1.1919,-0.7724,0.1697
0.0,0.0,0.0,0.0,0.0,0.25088477,-0.32007173,0.42561752,0.060523227,-0.76517403,0.02636036,1.1919,-0.7724,0.1697
0.0,0.0,0.0,0.0,0.0,0.25088477,-0.32007173,0.42561752,0.060523227,-0.76517403,0.02636036,1.3052,-0.8296,0.3346
0.0,0.0,0.0,0.0,0.0,-0.4464745,0.12164542,-0.11567045,0.060523227,-0.76517403,0.02636036,1.3052,-0.8296,0.3346
0.0,0.0,0.0,0.0,0.0,-0.4464745,0.12164542,-0.11567045,0.060523227,-0.76517403,0.02636036,1.31,-0.8296,0.3346
0.0,0.0,0.0,0.0,0.0,-0.4464745,0.12164542,-0.11567045,-0.43343654,0.69341433,0.21347262,1.31,-0.8296,0.3346
